Using nonce 18369355690310434798
ProgramPool (avg. ticks 0, avg. max stack size 0, rp 0)<
  Program 106 <size 186, parent 14, gen gap 1, avg score 100.574, runs 18.1875<
  Program 107 <size 187, parent 29, gen gap 1, avg score 97.5183, runs 16<
  Program 108 <size 186, parent 35, gen gap 1, avg score 105.382, runs 9.5<
  Program 109 <size 187, parent 64, gen gap 1, avg score 114.112, runs 28.8125<
  Program 110 <size 187, parent 64, gen gap 1, avg score 110.727, runs 25.75<
  Program 111 <size 187, parent 39, gen gap 1, avg score 126.605, runs 10.25<
  Program 112 <size 186, parent 16, gen gap 1, avg score 120.299, runs 14.5<
  Program 113 <size 186, parent 32, gen gap 1, avg score 118.447, runs 9<
  Program 114 <size 188, parent 49, gen gap 1, avg score 77.4212, runs 16<
  Program 115 <size 188, parent 110, gen gap 1, avg score 80.3417, runs 12<
  Program 116 <size 185, parent 21, gen gap 1, avg score 109.793, runs 12.5<
  Program 117 <size 188, parent 67, gen gap 1, avg score 110.096, runs 14.5<
  Program 118 <size 191, parent 114, gen gap 1, avg score 65.8328, runs 4<
  Program 119 <size 188, parent 107, gen gap 1, avg score 131.766, runs 7<
  Program 120 <size 189, parent 115, gen gap 1, avg score 61.9562, runs 14<
  Program 121 <size 187, parent 83, gen gap 1, avg score 133.067, runs 2<
  Program 122 <size 186, parent 14, gen gap 1, avg score 120.985, runs 16.4375<
  Program 123 <size 188, parent 111, gen gap 1, avg score 124.028, runs 14.5<
  Program 124 <size 189, parent 123, gen gap 1, avg score 112.6, runs 5<
  Program 125 <size 188, parent 94, gen gap 1, avg score 126.206, runs 6.875<
  Program 126 <size 187, parent 71, gen gap 1, avg score 124.473, runs 12.5<
  Program 127 <size 187, parent 64, gen gap 1, avg score 103.869, runs 10.875<
  Program 128 <size 187, parent 51, gen gap 1, avg score 98.4262, runs 22.125<
  Program 129 <size 188, parent 128, gen gap 1, avg score 88.8771, runs 7.5<
  Program 130 <size 62, parent 22, gen gap 1, avg score 133.601, runs 2<
  Program 131 <size 187, parent 103, gen gap 1, avg score 132.715, runs 4<
  Program 132 <size 187, parent 84, gen gap 1, avg score 69.867, runs 11<
  Program 133 <size 187, parent 59, gen gap 1, avg score 93.1125, runs 5<
  Program 134 <size 187, parent 122, gen gap 1, avg score 111.926, runs 8<
  Program 135 <size 187, parent 103, gen gap 1, avg score 118.254, runs 14.625<
  Program 136 <size 189, parent 44, gen gap 1, avg score 131.115, runs 5<
